Sl NO TIMESTAMP                   PROTOCOL        MESSAGE                              DETAILS                                                                                                                                                             
92    2019-08-15 18:34:16.706527  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Received NAS EPS MM Message Type: Attach Complete                                                                                       
93    2019-08-15 18:34:16.709520  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Expected NAS EPS SM Message Type: Activate Default EPS Bearer Context Accept                                                            
94    2019-08-15 18:34:16.711515  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Received NAS EPS SM Message Type: Activate Default EPS Bearer Context Accept                                                            
95    2019-08-15 18:34:16.716501  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Step7c: Accepted the Attach. DUT attached to LTE network                                                                                
96    2019-08-15 18:34:16.758389  -               -                                    Mapped AT command forSWITCH_OFF is at+cfun=4                                                                                                                        
97    2019-08-15 18:34:16.758389  -               -                                    Performing SWITCH_OFF action on DUT                                                                                                                                 
98    2019-08-15 18:34:17.275013  -               -                                    CommonDefs.ttcn:238: unsupported DNS question (skipped)                                                                                                             
99    2019-08-15 18:34:18.063691  [RRC]UL-DCCH    ulInformationTransfer                UL-DCCH,-                                                                                                                                                           
100   2019-08-15 18:34:18.101116  -               -                                    Received Detach Request from UE                                                                                                                                     
101   2019-08-15 18:34:18.200367  -               -                                     Ignore RACH enabled                                                                                                                                                
102   2019-08-15 18:34:18.249284  [RRC]DL-DCCH    rrcConnectionRelease                 DL-DCCH,-                                                                                                                                                           
-     2019-08-15 18:34:27.376000  -               -                                    Test ended with result: PASS                                                                                                                                        

